ID,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,ConsumptionRatingText,FirstRegYear,Doors,InteriorColorText,Co2EmissionText,FirstRegMonth,Seats,ConsumptionTotalText,Ccm,ConditionTypeText,Properties,BodyColorText,DriveTypeText,TransmissionTypeText,Km,Hp,BodyTypeText,FuelTypeText,City
1052.0,PORSCHE,911,911 Carrera 4S,911 Carrera 4S,PORSCHE 911 Carrera 4S,G,2006,2,schwarz,285 g/km,2,4,11.8 l/100km,3824,Occasion,"""Ab MFK""",silber mét.,Allrad,Schaltgetriebe manuell,101200,355,Coupé,Benzin,Zuzwil
1053.0,TOYOTA,LAND CRUISER,LAND CRUISER FJ 40,FJ 40,TOYOTA LAND CRUISER FJ 40,null,1982,3,grau,null,2,2,null,4228,Occasion,"""Ab MFK""",silber mét.,Allrad,Schaltgetriebe manuell,5000,135,SUV / Geländewagen,Benzin,Zuzwil
1054.0,MERCEDES-BENZ,SL 500,SL 500,SL 500,MERCEDES-BENZ SL 500,null,1996,2,schwarz,328 g/km,10,0,14.3 l/100km,4973,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat,27600,320,Cabriolet,Benzin,Zuzwil
1055.0,RENAULT,Alpine A110,Alpine A110 1600S,1600S,RENAULT Alpine A110 1600S,null,1970,2,beige,null,3,2,null,1564,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe,57700,124,Coupé,Benzin,Zuzwil
1056.0,DATSUN,280,280 ZX,ZX,DATSUN 280 ZX,null,1981,3,rot,null,3,2,null,2753,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe,50300,140,Coupé,Benzin,Zuzwil
1057.0,PORSCHE,911,911 GT2,911 GT2,PORSCHE 911 GT2,G,2001,2,schwarz,309 g/km,9,4,12.9 l/100km,3600,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe manuell,53400,462,Coupé,Benzin,Zuzwil
1058.0,LAMBORGHINI,MURCIÉLAGO,Murciélago 6.2 Coupé,Murciélago 6.2 Coupé,LAMBORGHINI Murciélago 6.2 Coupé,G,2003,2,null,500 g/km,2,2,21.5 l/100km,6192,Occasion,"""Ab MFK""",silber mét.,Allrad,Schaltgetriebe manuell,9000,580,Coupé,Benzin,Porrentruy
1059.0,MERCEDES-BENZ,ML 350,ML 350 Inspiration,ML 350 Inspiration,MERCEDES-BENZ ML 350 Inspiration,G,2003,5,schwarz,305 g/km,10,5,12.7 l/100km,3724,Occasion,"""Ab MFK""",silber mét.,Allrad,Automat,126300,235,SUV / Geländewagen,Benzin,Zuzwil
106.0,AUDI,A8,A8 4.2 quattro,A8 4.2 quattro,AUDI A8 4.2 quattro,G,2003,4,schwarz,288 g/km,11,5,12.0 l/100km,4172,Occasion,"""Ab MFK""",blau mét.,Allrad,Automat sequentiell,26300,335,Limousine,Benzin,Zuzwil
1060.0,PORSCHE,911,911 Turbo,911 Turbo,PORSCHE 911 Turbo,null,2003,2,schwarz,309 g/km,3,4,12.9 l/100km,3600,Occasion,"""Ab MFK""",silber mét.,Allrad,Automatik-Getriebe,94500,420,Coupé,Benzin,Zuzwil
1061.0,BMW,M3,M3 CSL,M3 CSL,BMW M3 CSL,G,2003,2,null,287 g/km,11,5,11.9 l/100km,3246,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automatisiertes Schaltgetriebe,35000,360,Coupé,Benzin,Zuzwil
1062.0,MITSUBISHI,LANCER,LANCER EVO V,EVO V,MITSUBISHI LANCER EVO V,null,1999,4,schwarz,null,1,5,null,1997,Occasion,"""Ab MFK""",silber mét.,Allrad,Schaltgetriebe manuell,120800,280,Limousine,Benzin,Zuzwil
1063.0,MERCEDES-BENZ,,6.7 BRABUS,6.7 BRABUS,MERCEDES-BENZ 6.7 BRABUS,null,2000,2,schwarz,null,2,4,null,6700,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automatik-Getriebe,75300,450,Coupé,Benzin,Zuzwil
1064.0,PORSCHE,911,911 Carrera 4,911 Carrera 4,PORSCHE 911 Carrera 4,G,2000,2,schwarz,295 g/km,11,4,12.0 l/100km,3387,Occasion,"""Ab MFK""",silber mét.,Allrad,Schaltgetriebe manuell,38200,300,Coupé,Benzin,Zuzwil
1065.0,AUDI,TT,TT Roadster 1.8 T,TT Roadster 1.8 T,AUDI TT Roadster 1.8 T,G,2005,2,schwarz,199 g/km,3,2,8.3 l/100km,1781,Occasion,"""Ab MFK""",silber mét.,Vorderradantrieb,Schaltgetriebe manuell,49900,180,Cabriolet,Benzin,Zuzwil
1066.0,AUDI,A8,A8 4.2 quattro,A8 4.2 quattro,AUDI A8 4.2 quattro,G,1999,4,beige,314 g/km,10,5,13.1 l/100km,4172,Occasion,"""Ab MFK""",silber mét.,Allrad,Automat sequentiell,101800,310,Limousine,Benzin,Zuzwil
1067.0,RENAULT,Alpine A110,Alpine A110 1300,1300,RENAULT Alpine A110 1300,null,1973,2,schwarz,null,0,2,null,1288,Occasion,"""Ab MFK""",silber mét.,null,Schaltgetriebe,75700,0,Coupé,Benzin,Zuzwil
1068.0,MASERATI,QUATTROPORTE,Quattroporte 4.2,Quattroporte 4.2,MASERATI Quattroporte 4.2,G,2005,4,braun,370 g/km,10,5,15.8 l/100km,4244,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automatisiertes Schaltgetriebe,33500,400,Limousine,Benzin,Zuzwil
1069.0,MERCEDES-BENZ,SL 500,SL 500,SL 500,MERCEDES-BENZ SL 500,null,1995,2,null,null,1,0,null,4971,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat,96600,320,Cabriolet,Benzin,Zuzwil
107.0,BENTLEY,ARNAGE,Arnage Red Label,Arnage Red Label,BENTLEY Arnage Red Label,G,2000,4,grau,456 g/km,5,5,19.2 l/100km,6761,Occasion,"""Ab MFK""",blau mét.,Hinterradantrieb,Automat,19300,405,Limousine,Benzin,Zuzwil
