carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
SUV,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2002,20800,kilometer,Ml 500,ML 500,,car,,1,l/100km
Convertible / Roadster,White,Occasion,CHF,,Zuzwil,CH,Mclaren,2013,12000,kilometer,12C,MP4-12C Cabriolet 3.8 V8,,car,,3,l/100km
Convertible / Roadster,White,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1997,70600,kilometer,Sl 320,SL 320,,car,,2,l/100km
Convertible / Roadster,White,Occasion,CHF,,Zuzwil,CH,Agm,2004,1,kilometer,,WLR,,car,,1,
Convertible / Roadster,White,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2003,81000,kilometer,Sl 55 Amg,SL 55 AMG,,car,,1,l/100km
Convertible / Roadster,White,Occasion,CHF,,Zuzwil,CH,Porsche,2006,29800,kilometer,911,911 Carrera S Cabrio,,car,,8,l/100km
Convertible / Roadster,White,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2001,15600,kilometer,Sl 500,SL 500,,car,,11,l/100km
Coupé,White,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1993,26800,kilometer,S 600,S 600,,car,,8,
Other,White,Occasion,CHF,,Zuzwil,CH,VW,2005,48300,kilometer,Phaeton,Phaeton 3.0 TDi V6 4M,,car,,6,l/100km
Coupé,White,Occasion,CHF,,Zuzwil,CH,Ferrari,2000,36000,kilometer,456,456M GT,,car,,3,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2007,102000,kilometer,S 65 Amg,S 65 AMG L,,car,,3,l/100km
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2008,41000,kilometer,Sl 55 Amg,SL 55 AMG,,car,,12,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,BMW,1998,39700,kilometer,M5,M5,,car,,10,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2005,99000,kilometer,A 150,A 150 Classic,,car,,10,l/100km
Coupé,White,Occasion,CHF,,Porrentruy,CH,Lamborghini,2008,5900,kilometer,,Reventon Coupé,,car,,4,
Other,White,Occasion,CHF,,Zuzwil,CH,Audi,2004,55000,kilometer,Rs6,RS6 Avant quattro,,car,,3,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Audi,2008,79700,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,,car,,10,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2001,83000,kilometer,E 320,E 320 Avantgarde,,car,,5,l/100km
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2008,32500,kilometer,,CLK DTM AMG,,car,,2,
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Porsche,2009,33000,kilometer,911,911 Turbo,,car,,3,l/100km
SUV,Other,Occasion,CHF,,Zuzwil,CH,BMW,2002,26500,kilometer,X5,X5 4.6is,,car,,11,l/100km
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2004,14500,kilometer,Sl 600,SL 600,,car,,4,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Bentley,1995,39100,kilometer,Brooklands,Brooklands,,car,,3,
Other,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2002,145100,kilometer,C 320,C 320 Elégance,,car,,5,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Bmw-Alpina,1986,199300,kilometer,5 Series,B7 TURBO,,car,,5,
Coupé,Blue,Occasion,CHF,,Porrentruy,CH,Ferrari,2003,42500,kilometer,F360,F360 Modena Berlinetta,,car,,11,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Audi,2008,Automat,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,,car,,7,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,BMW,1998,26200,kilometer,728,728i,,car,,5,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Audi,2003,64500,kilometer,Rs6,RS6 Avant quattro,,car,,5,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2013,23900,kilometer,E 63 Amg,E 63 AMG S 4Matic,,car,,7,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Lamborghini,2007,Automatisiertes Schaltgetriebe,kilometer,Murciélago,Murciélago LP640-4 Cpé,,car,,7,l/100km
Coupé,Other,Occasion,CHF,,Zuzwil,CH,Porsche,1980,54000,kilometer,924,Turbo,,car,,3,
Coupé,Blue,Oldtimer,CHF,,Zuzwil,CH,Mg,1957,37000,kilometer,,Roadster,,car,,1,
Other,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1999,96500,kilometer,S 55 Amg,S 55 AMG,,car,,2,l/100km
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2003,49900,kilometer,Sl 600,SL 600,,car,,10,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2003,106000,kilometer,E 240,E 240 Avantgarde,,car,,3,l/100km
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,BMW,1990,27700,kilometer,Z1,null,,car,,2,
Other,Blue,Occasion,CHF,,Zuzwil,CH,Honda,2001,111500,kilometer,Legend,Legend V6 3.5i,,car,,3,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Porsche,2002,Schaltgetriebe manuell,kilometer,911,911 Turbo,,car,,3,l/100km
