carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Coupé,Red,Occasion,CHF,,Zuzwil,CH,Porsche,2002,29000,kilometer,911,911 Turbo,,car,,1,l/100km
Other,Red,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1996,132600,kilometer,E 420,E 420 Avantgarde,,car,,5,l/100km
Other,Red,Occasion,CHF,,Zuzwil,CH,Audi,1999,69900,kilometer,A8,A8 4.2 quattro,,car,,1,l/100km
Coupé,Red,Occasion,CHF,,Zuzwil,CH,Ferrari,2006,4400,kilometer,F430,F430,,car,,3,l/100km
Other,Red,Occasion,CHF,,Zuzwil,CH,Dodge,1979,13800,kilometer,,B 200,,car,,7,
Other,Red,Occasion,CHF,,Zuzwil,CH,Audi,2010,38000,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,,car,,9,l/100km
Coupé,Red,Occasion,CHF,,Zuzwil,CH,BMW,2001,127800,kilometer,M3,M3,,car,,9,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Audi,2000,Schaltgetriebe manuell,kilometer,A6,A6 Avant 2.7 T Ambition,,car,,9,l/100km
SUV,Other,Occasion,CHF,,Zuzwil,CH,Porsche,2010,2900,kilometer,Cayenne,Cayenne Turbo Techart Magnum Kit,,car,,1,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Audi,2003,43400,kilometer,Rs6,RS6 Avant quattro,,car,,5,l/100km
Other,Red,Occasion,CHF,,Zuzwil,CH,Jaguar,2000,44200,kilometer,S-Type,S-Type 4.0 V8,,car,,1,l/100km
Coupé,Red,Neu,CHF,,Zuzwil,CH,Porsche,2015,100,kilometer,911,911 Turbo S,,car,,1,l/100km
Other,Red,Occasion,CHF,,Zuzwil,CH,Toyota,1977,78000,kilometer,,1000 / Publica,,car,,5,
Other,Red,Occasion,CHF,,Zuzwil,CH,Audi,1997,33800,kilometer,A8,A8 4.2 quattro,,car,,9,l/100km
Convertible / Roadster,Red,Occasion,CHF,,Zuzwil,CH,Jaguar,2002,77600,kilometer,Xk,XKR S/C Convertible,,car,,4,l/100km
Other,Red,Occasion,CHF,,Zuzwil,CH,Audi,1998,196300,kilometer,A4,A4 Avant 2.8 q.Ambition,,car,,4,l/100km
Other,Red,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1996,33700,kilometer,E 50 Amg,E 50 AMG Avantgarde,,car,,11,l/100km
SUV,Red,Occasion,CHF,,Zuzwil,CH,BMW,2004,61900,kilometer,X5,X5 4.8is,,car,,8,l/100km
Other,Red,Occasion,CHF,,Zuzwil,CH,Audi,2002,71900,kilometer,Rs6,RS6 Avant quattro,,car,,9,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,BMW,2008,25700,kilometer,135,135i,,car,,10,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Ferrari,2000,46500,kilometer,456,456M GT,,car,,3,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Mercedes-Benz,2003,Automat,kilometer,Clk 55 Amg,CLK 55 AMG Avantgarde,,car,,2,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2003,43300,kilometer,Sl 55 Amg,SL 55 AMG,,car,,7,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1995,62000,kilometer,S 600,S 600,,car,,6,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Renault,1979,36900,kilometer,Alpine,2700VA,,car,,8,
Other,Black,Occasion,CHF,,Zuzwil,CH,Nissan,1992,98000,kilometer,Sunny,2.0 16V GTI-R Rallye,,car,,1,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Alfa Romeo,1972,18400,kilometer,Gtv,2000 Bertone,,car,,2,
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1991,55300,kilometer,Sl 500,SL 500,,car,,9,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Lamborghini,2011,19300,kilometer,Gallardo,Gallardo LP570-4 Coupé SL,,car,,1,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Seat,2005,132200,kilometer,Ibiza,Ibiza 1.9 TDI FR,,car,,8,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Volvo,1999,107000,kilometer,S40,S40 2.0 T,,car,,5,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2004,51000,kilometer,Cls 500,CLS 500,,car,,12,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Audi,2010,37000,kilometer,R8,R8 Spyder 5.2,,car,,4,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1991,156300,kilometer,500,500 SE,,car,,7,
SUV,Black,Occasion,CHF,,Zuzwil,CH,Jeep,1995,133500,kilometer,Grand Cherokee,Grand Cherokee 5.2 Ltd.,,car,,2,
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Ferrari,1998,34600,kilometer,F355,F355 Spider,,car,,7,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Audi,1997,91900,kilometer,S6,S6 Avant quattro 4.2,,car,,6,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,2013,15300,kilometer,M5,M5,,car,,9,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Lamborghini,2008,28500,kilometer,Gallardo,Gallardo LP560-4 Coupé,,car,,6,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2003,45300,kilometer,Sl 600,SL 600,,car,,6,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1997,118200,kilometer,C 180,C 180 Esprit,,car,,11,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Lamborghini,2005,Automatisiertes Schaltgetriebe,kilometer,Murciélago,Murciélago 6.2 Coupé,,car,,7,l/100km
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1967,47700,kilometer,,SL 250 Pagode,,car,,1,
Coupé,Black,Occasion,CHF,,Porrentruy,CH,Lamborghini,2011,7890,kilometer,Murciélago,Murciélago LP640-4 Cpé,,car,,4,l/100km
SUV,Black,Occasion,CHF,,Zuzwil,CH,BMW,2003,66800,kilometer,X5,X5 4.4i,,car,,5,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Audi,2001,49300,kilometer,S8,S8 4.2 quattro,,car,,3,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2004,123300,kilometer,E 500,E 500 Avantgarde,,car,,4,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,1995,111900,kilometer,750,750iL,,car,,1,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,BMW,2001,65300,kilometer,330,330Ci,,car,,5,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,1996,79800,kilometer,320,320i Touring,,car,,1,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Renault,1960,177000,kilometer,,DAUPHINE GORDINI,,car,,7,
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,2007,99800,kilometer,525,525xi,,car,,1,l/100km
Coupé,Black,Oldtimer,CHF,,Basel,CH,Rolls-Royce,1980,32000,kilometer,Corniche,II Coupé,,car,,7,
SUV,Blue,Occasion,CHF,,Zuzwil,CH,Land Rover,2006,49900,kilometer,Range Rover Sport,Range Rover Sport 4.2 V8 SC,,car,,6,l/100km
Coupé,Black,Occasion,CHF,,Sursee,CH,Ferrari,1989,7000,kilometer,F40 / F50,null,,car,,2,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Renault,1972,68000,kilometer,Alpine A110,1600 S,,car,,2,
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2011,69200,kilometer,Cls 63 Amg,CLS 63 AMG,,car,,9,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,1987,88000,kilometer,M3,M3,,car,,10,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2003,41100,kilometer,Cl 600,CL 600,,car,,11,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Daimler,1998,100,kilometer,V8,V8 4.0,,car,,5,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,2001,120900,kilometer,530,530i Touring,,car,,5,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,1997,38000,kilometer,528,528i Touring,,car,,4,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Ferrari,1999,18200,kilometer,456,456M GTA,,car,,12,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Bentley,1994,60000,kilometer,Continental,Continental R Coupé,,car,,1,
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Lamborghini,2007,33000,kilometer,Murciélago,Murciélago LP640-4 Cpé,,car,,3,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1992,129700,kilometer,Sl 500,SL 500,,car,,2,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Renault,1983,128500,kilometer,Alpine,V6,,car,,8,
Other,Black,Occasion,CHF,,Zuzwil,CH,Ford,1990,164400,kilometer,Sierra,Sierra 2.0i Cosworth 4x4,,car,,9,
Other,Black,Occasion,CHF,,Zuzwil,CH,Audi,2006,117400,kilometer,Rs4,RS4 Avant 4.2 V8 quattro,,car,,8,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Porsche,2004,61400,kilometer,911,911 Carrera Jubilé 40,,car,,3,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,VW,2002,15900,kilometer,Phaeton,Phaeton 6.0 W12 4Motion,,car,,11,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1999,70900,kilometer,Sl 320,SL 320,,car,,1,l/100km
Coupé,Black,Occasion,CHF,,Sursee,CH,Porsche,2011,6300,kilometer,911,911 GT3 RS,,car,,11,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2010,7400,kilometer,E 63 Amg,E 63 AMG,,car,,3,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Porsche,1999,77800,kilometer,911,911 Carrera 4,,car,,5,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Audi,2001,50000,kilometer,Rs4,RS4 Avant quattro,,car,,3,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1995,75200,kilometer,Sl 600,SL 600,,car,,9,
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,1998,93000,kilometer,540,540i,,car,,11,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Trabant,2009,999,kilometer,,1300S Trabusa,,car,,1,
Other,Black,Occasion,CHF,,Zuzwil,CH,Seat,2009,53300,kilometer,Leon,Leon 2.0 TSI FR,,car,,1,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Jaguar,1974,49200,kilometer,E,E-Type III,,car,,3,
Other,Other,Neu,CHF,,Benzin,CH,Lamborghini,2015,Automatisiertes Schaltgetriebe,kilometer,Aventador,Aventador LP700-4 Rds,,car,,3,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2003,121900,kilometer,S 55 Amg,S 55 AMG,,car,,3,l/100km
SUV,Black,Occasion,CHF,,Zuzwil,CH,BMW,2000,3600,kilometer,X5,X5 4.4i,,car,,12,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Maserati,2004,56600,kilometer,Quattroporte,Quattroporte 4.2,,car,,7,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Audi,2003,40900,kilometer,Rs6,RS6 Avant quattro,,car,,10,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Renault,1980,108000,kilometer,Alpine,Alpine A310 V6,,car,,4,
Other,Black,Occasion,CHF,,Zuzwil,CH,Audi,2009,29500,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,,car,,3,l/100km
SUV,Black,Occasion,CHF,,Zuzwil,CH,Porsche,2003,114000,kilometer,Cayenne,Cayenne Turbo,,car,,8,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,2003,94500,kilometer,760,760i L,,car,,1,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2006,60500,kilometer,B 200,B 200 T Sailing Edition,,car,,8,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Maserati,2006,9800,kilometer,Quattroporte,Quattroporte 4.2,,car,,12,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,BMW,2007,77500,kilometer,335,335i,,car,,7,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2005,42500,kilometer,Slk 55 Amg,SLK 55 AMG,,car,,4,l/100km
SUV,Black,Occasion,CHF,,Zuzwil,CH,Porsche,2005,64500,kilometer,Cayenne,Cayenne Turbo,,car,,10,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Bentley,2000,111600,kilometer,Arnage,Arnage Red Label,,car,,2,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Audi,2008,Automatisiertes Schaltgetriebe,kilometer,Tt,TTS Cpé 2.0 TFSI quattro,,car,,8,l/100km
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2003,77700,kilometer,Sl 600,SL 600,,car,,6,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2000,103800,kilometer,Cl 600,CL 600,,car,,6,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Renault,1983,159700,kilometer,R5,R5 1400 Alpine Turbo,,car,,12,
SUV,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2002,118000,kilometer,Ml 500,ML 500,,car,,2,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Ford,1973,36100,kilometer,Capri,RS 2600,,car,,3,
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1997,70700,kilometer,E 50 Amg,E 50 AMG Avantgarde,,car,,3,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,2005,21700,kilometer,M5,M5,,car,,5,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Bmw-Alpina,1998,94400,kilometer,5 Series,B10 4.6 S.Tronic,,car,,10,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Ford,1994,Schaltgetriebe manuell,kilometer,Escort,Escort 2.0i RS Cosworth,,car,,4,
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1998,63400,kilometer,E 55 Amg,E 55 AMG Avantgarde,,car,,2,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,1974,134000,kilometer,2002,Turbo,,car,,7,
Other,Blue,Occasion,CHF,,Zuzwil,CH,BMW,1998,60700,kilometer,750,750i,,car,,3,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Maserati,2006,24300,kilometer,Quattroporte,Quattroporte 4.2 Sport GT,,car,,10,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2009,57400,kilometer,C 63 Amg,C 63 AMG Avantgarde,,car,,1,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Bentley,1995,124900,kilometer,Brooklands,Brooklands,,car,,12,
Other,Black,Occasion,CHF,,Zuzwil,CH,Maserati,2008,58900,kilometer,Quattroporte,Quattroporte 4.2 Sport GT,,car,,4,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Mercedes-Benz,2009,Automatisiertes Schaltgetriebe,kilometer,E 63 Amg,E 63 AMG,,car,,6,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Aston Martin,2007,35500,kilometer,V8 Vantage,V8 Vantage 4.3,,car,,2,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Bmw-Alpina,2012,4950,kilometer,5 Series,B5 BiTurbo 4.4 V8,,car,,6,l/100km
SUV,Black,Occasion,CHF,,Zuzwil,CH,Porsche,2011,39000,kilometer,Cayenne,Cayenne Turbo,,car,,1,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Jaguar,1999,89666,kilometer,Xk,XKR S/C,,car,,5,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2006,49000,kilometer,Sl 55 Amg,SL 55 AMG,,car,,3,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Ford (Usa),2012,Schaltgetriebe,kilometer,Mustang,Shelby GT500,,car,,3,
Coupé,Blue,Occasion,CHF,,Porrentruy,CH,Lamborghini,1993,49500,kilometer,Diablo,Diablo 5.7,,car,,4,
SUV,Black,Occasion,CHF,,Zuzwil,CH,Opel,2001,153900,kilometer,Frontera,Frontera 3.2i V6 Limited,,car,,5,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Aston Martin,2007,28800,kilometer,V8 Vantage,V8 Vantage 4.3,,car,,7,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2006,25000,kilometer,Slk 55 Amg,Black Series,,car,,10,
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Chevrolet,1994,68200,kilometer,Corvette,Corvette 5.7 LT1 Convert.,,car,,7,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1971,145100,kilometer,300,SEL 3.5,,car,,5,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Alfa Romeo,1988,69300,kilometer,Spider,Spider 2.0,,car,,4,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Aston Martin,2006,92500,kilometer,V8 Vantage,V8 Vantage 4.3,,car,,1,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2002,38700,kilometer,Slk 230,SLK 230 Kompressor,,car,,5,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Saab,2001,134600,kilometer,9-3,9-3 2.0i-16 TS Aero,,car,,9,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Porsche,1996,81900,kilometer,911,911 Carrera Cabrio,,car,,8,l/100km
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2003,59300,kilometer,Sl 55 Amg,SL 55 AMG,,car,,2,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Audi,2003,43800,kilometer,Rs6,RS6 Avant quattro,,car,,2,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Lotus,1969,62200,kilometer,Europa,null,,car,,3,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2001,27800,kilometer,Cl 500,CL 500,,car,,1,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,2000,171000,kilometer,M5,M5,,car,,1,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,VW,2002,50400,kilometer,Phaeton,Phaeton 6.0 W12 4Motion,,car,,10,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Lamborghini,2000,20600,kilometer,Diablo,Diablo 5.7,,car,,12,
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1992,52500,kilometer,Sl 600,SL 600,,car,,9,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Opel,1982,60990,kilometer,Manta,400 Breitbau,,car,,7,
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,2009,45000,kilometer,750,750i xDrive,,car,,10,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Porsche,2004,54100,kilometer,911,911 GT2,,car,,3,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Porsche,2002,Schaltgetriebe manuell,kilometer,911,911 GT2,,car,,12,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Opel,2006,90600,kilometer,Vectra,Vectra 2.8 T V6 Cosmo,,car,,5,l/100km
SUV,Black,Occasion,CHF,,Zuzwil,CH,BMW,2001,79900,kilometer,X5,X5 4.4i,,car,,6,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1985,97000,kilometer,Sl-Class,500 SL,,car,,5,
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2005,1500,kilometer,S 500,S 500,,car,,11,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2005,21300,kilometer,Cls 500,CLS 500,,car,,1,l/100km
SUV,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2013,28100,kilometer,G 63 Amg,G 63 AMG,,car,,4,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2008,45600,kilometer,S 63 Amg,S 63 AMG L,,car,,8,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Porsche,1997,74000,kilometer,911,911 Targa,,car,,5,l/100km
SUV,Black,Occasion,CHF,,Zuzwil,CH,Nissan,2005,54500,kilometer,Murano,Murano 3.5 V6,,car,,10,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Ferrari,1998,32800,kilometer,F355,F355 Berlinetta,,car,,3,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Audi,2002,Automat sequentiell,kilometer,Rs6,RS6 Avant quattro,,car,,8,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Lamborghini,2007,42000,kilometer,Gallardo,Gallardo Superleggera,,car,,6,l/100km
Other,Other,Neu,CHF,,Benzin,CH,Audi,2007,Automatik-Getriebe,kilometer,R8,R8 Coupé 4.2,,car,,10,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Bentley,2011,20000,kilometer,Continental,Continental Supersports Conv.,,car,,1,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,BMW,2005,58300,kilometer,M6,M6,,car,,4,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Toyota,1983,54100,kilometer,Celica,Celica 2800 i Supra,,car,,3,
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,BMW,2000,228000,kilometer,323,323Ci,,car,,6,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Audi,2004,66100,kilometer,A4,A4 Avant 3.0 V6 quattro,,car,,7,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2005,66100,kilometer,Cls 500,CLS 500,,car,,3,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1995,56500,kilometer,Sl 500,SL 500,,car,,1,
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2003,70000,kilometer,Sl 600,SL 600,,car,,4,l/100km
SUV,Blue,Occasion,CHF,,Zuzwil,CH,Hummer,2006,127700,kilometer,H3,H3 3.5 Luxury,,car,,1,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Bentley,2007,50900,kilometer,Continental,Continental GTC 6.0,,car,,7,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Audi,2008,38500,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,,car,,5,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,1995,65400,kilometer,740,740i,,car,,7,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,BMW,2001,79500,kilometer,330,330Ci,,car,,3,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Mg,1986,2500,kilometer,Metro,6R4 Gruppe B,,car,,2,
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,1996,86100,kilometer,535,535i,,car,,6,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1990,23800,kilometer,Sl 500,SL 500,,car,,7,
SUV,Black,Occasion,CHF,,Zuzwil,CH,Porsche,2004,69500,kilometer,Cayenne,Cayenne Turbo,,car,,11,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,BMW,2007,48000,kilometer,M6,M6,,car,,4,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Maserati,2007,21500,kilometer,Quattroporte,Quattroporte 4.2,,car,,10,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2003,29500,kilometer,Cl 600,CL 600,,car,,12,l/100km
Other,Black,Vorführmodell,CHF,,Zuzwil,CH,Audi,2004,2300,kilometer,Rs6,RS6 Avant quattro,,car,,12,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2008,29100,kilometer,Sl 600,SL 600,,car,,1,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Porsche,1984,137700,kilometer,911,911 Carrera Cabrio,,car,,12,
Convertible / Roadster,Black,Occasion,CHF,,Porrentruy,CH,Lamborghini,1998,13960,kilometer,Diablo,Diablo 5.7 VT Roadster,,car,,5,l/100km
SUV,Black,Occasion,CHF,,Zuzwil,CH,Jeep,1997,61000,kilometer,Grand Cherokee,Grand Cherokee 5.2 Ltd.,,car,,6,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,BMW,2007,62000,kilometer,730,730d,,car,,11,l/100km
Other,Black,Oldtimer,CHF,,Zuzwil,CH,Mercedes-Benz,1973,110200,kilometer,450,SLC,,car,,8,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Renault,1973,85000,kilometer,Alpine A110,1300,,car,,7,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Porsche,1999,29800,kilometer,911,911 GT3,,car,,8,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2003,13900,kilometer,Sl 600,SL 600,,car,,5,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Audi,2003,88600,kilometer,Rs6,RS6 Avant quattro,,car,,3,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Audi,2002,44000,kilometer,A8,A8 4.2 quattro,,car,,12,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Yes!,2007,9400,kilometer,,Roadster 3.2,,car,,9,
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Porsche,1984,108500,kilometer,911,911 Carrera,,car,,2,
Other,Black,Occasion,CHF,,Zuzwil,CH,VW,2002,175000,kilometer,Phaeton,Phaeton 6.0 W12 4Motion,,car,,11,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Ferrari,1999,26200,kilometer,F360,F360 Modena Berlinetta,,car,,10,l/100km
Coupé,Black,Occasion,CHF,,Zuzwil,CH,Audi,2008,67700,kilometer,S5,S5 Coupé 4.2 FSI quattro,,car,,5,l/100km
Other,Black,Occasion,CHF,,Safenwil,CH,Aston Martin,1987,39000,kilometer,Lagonda,Shooting Brake,,car,,3,
Convertible / Roadster,Black,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2001,20500,kilometer,Sl 500,SL 500,,car,,11,l/100km
Other,Black,Occasion,CHF,,Zuzwil,CH,Audi,2002,91100,kilometer,Rs6,RS6 Avant quattro,,car,,7,l/100km
Convertible / Roadster,Black,Occasion,CHF,,Porrentruy,CH,Lamborghini,2014,1999,kilometer,Aventador,Aventador LP700-4 Rds,,car,,3,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Porsche,1981,114000,kilometer,924,Turbo,,car,,9,
Other,Black,Occasion,CHF,,Zuzwil,CH,Bentley,2007,28000,kilometer,Continental,Continental FlyingSpur6.0,,car,,2,l/100km
